,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
321,chokwe,24,MZ,1619922604,82,-24.5333,32.9833,16.34,4.5
322,kilindoni,70,TZ,1619922605,80,-7.9139,39.6668,26.71,5.45
323,zatoka,0,UA,1619922606,100,46.0725,30.4654,12.0,4.0
324,rawson,45,AR,1619922608,57,-43.3002,-65.1023,14.93,5.3
325,male,0,MV,1619922609,84,4.1748,73.5089,29.0,2.06
326,weligama,54,LK,1619922610,76,5.9667,80.4167,28.28,0.52
327,praia,20,CV,1619922612,73,14.9215,-23.5087,21.0,7.72
328,kibala,0,TD,1619922613,73,9.1104,18.3463,26.0,2.56
329,saint-pierre,0,RE,1619922614,68,-21.3393,55.4781,23.0,2.57
330,alofi,19,NU,1619922616,84,-19.0595,-169.9187,29.0,3.6
331,sembe,100,CG,1619922617,97,1.6481,14.5806,21.05,0.68
332,arcata,90,US,1619922618,76,40.8665,-124.0828,12.22,4.12
333,havre-saint-pierre,90,CA,1619922620,81,50.2334,-63.5986,5.0,3.6
334,urengoy,100,RU,1619922621,92,65.9667,78.3667,-0.32,5.23
335,lembeni,88,TZ,1619922622,96,-3.7833,37.6167,18.29,1.92
336,iranshahr,40,IR,1619922624,78,27.2025,60.6848,21.0,3.09
337,olafsvik,64,IS,1619922625,71,64.8945,-23.7142,1.53,8.84
338,shupiyan,54,IN,1619922626,72,33.7167,74.8333,13.69,1.43
339,puerto narino,40,CO,1619922628,100,-3.7703,-70.3831,24.0,1.54
340,amapa,100,BR,1619922629,99,1.0,-52.0,21.84,0.99
341,camacha,20,PT,1619922630,72,33.0833,-16.3333,14.0,1.54
342,kavieng,27,PG,1619922631,69,-2.5744,150.7967,28.92,1.48
343,moerai,19,PF,1619922633,64,-22.4333,-151.3333,24.04,5.79
344,santa fe,50,AR,1619922563,74,-31.6333,-60.7,20.56,1.79
345,bubaque,3,GW,1619922635,68,11.2833,-15.8333,25.58,4.25
346,pangkalanbuun,68,ID,1619922636,58,-2.6833,111.6167,31.84,2.03
347,nome,90,US,1619922638,74,64.5011,-165.4064,-3.0,4.12
348,noumea,75,NC,1619922611,61,-22.2763,166.4572,27.0,7.2
349,ussel,12,FR,1619922640,51,45.55,2.3167,2.78,0.63
350,talcahuano,90,CL,1619922641,94,-36.7167,-73.1167,13.0,3.6
351,chakulia,7,IN,1619922643,74,22.4833,86.7167,29.0,2.62
352,kawalu,44,ID,1619922644,59,-7.3817,108.2082,30.21,1.58
353,kodiak,90,US,1619922645,65,57.79,-152.4072,7.0,5.14
354,praia da vitoria,75,PT,1619922647,88,38.7333,-27.0667,17.0,3.39
355,ahipara,2,NZ,1619922648,55,-35.1667,173.1667,17.4,4.56
356,hollister,1,US,1619922649,67,36.8525,-121.4016,15.0,7.2
357,cabo san lucas,1,MX,1619922473,41,22.8909,-109.9124,25.0,5.14
358,holme,90,DK,1619922652,61,56.1138,10.1725,8.0,1.54
359,coquimbo,75,CL,1619922653,88,-29.9533,-71.3436,13.0,1.54
360,les escoumins,69,CA,1619922654,65,48.1111,-69.0236,6.0,6.69
361,macklin,95,CA,1619922656,26,52.3334,-109.9348,14.0,4.63
362,lebu,100,CL,1619922657,96,-37.6167,-73.65,12.96,5.01
363,nanortalik,91,GL,1619922658,66,60.1432,-45.2371,1.93,6.63
